FullGeoName,Year,County,Activity,Reported human cases,Neuroinvasive disease cases,Identified by Blood Donor Screening
"AL, Calhoun",2001,01015,Non-human activity,0,0,0
"AL, Covington",2001,01039,Non-human activity,0,0,0
"AL, Dale",2001,01045,Non-human activity,0,0,0
"AL, Dallas",2001,01047,Non-human activity,0,0,0
"AL, Jefferson",2001,01073,Human infections and non-human activity,2,2,0
"AL, Lee",2001,01081,Non-human activity,0,0,0
"AL, Madison",2001,01089,Non-human activity,0,0,0
"AL, Marshall",2001,01095,Non-human activity,0,0,0
"AL, Mobile",2001,01097,Non-human activity,0,0,0
"AL, Montgomery",2001,01101,Non-human activity,0,0,0
"AL, Russell",2001,01113,Non-human activity,0,0,0
"AL, Shelby",2001,01117,Non-human activity,0,0,0
"AL, Talladega",2001,01121,Non-human activity,0,0,0
"AL, Tuscaloosa",2001,01125,Non-human activity,0,0,0
"AR, Saline",2001,05125,Non-human activity,0,0,0
"AR, Sebastian",2001,05131,Non-human activity,0,0,0
"AR, Union",2001,05139,Non-human activity,0,0,0
"CT, Fairfield",2001,09001,Human infections and non-human activity,3,3,0
"CT, Hartford",2001,09003,Non-human activity,0,0,0
"CT, Litchfield",2001,09005,Non-human activity,0,0,0
"CT, Middlesex",2001,09007,Non-human activity,0,0,0
"CT, New Haven",2001,09009,Human infections and non-human activity,3,3,0
"CT, New London",2001,09011,Non-human activity,0,0,0
"CT, Tolland",2001,09013,Non-human activity,0,0,0
"CT, Windham",2001,09015,Non-human activity,0,0,0
"DE, Kent",2001,10001,Non-human activity,0,0,0
"DE, New Castle",2001,10003,Non-human activity,0,0,0
"DC, Washington",2001,11001,Non-human activity,0,0,0
"FL, Alachua",2001,12001,Non-human activity,0,0,0
"FL, Baker",2001,12003,Non-human activity,0,0,0
"FL, Bay",2001,12005,Non-human activity,0,0,0
"FL, Bradford",2001,12007,Non-human activity,0,0,0
"FL, Brevard",2001,12009,Non-human activity,0,0,0
"FL, Broward",2001,12011,Non-human activity,0,0,0
"FL, Calhoun",2001,12013,Non-human activity,0,0,0
"FL, Charlotte",2001,12015,Non-human activity,0,0,0
"FL, Citrus",2001,12017,Non-human activity,0,0,0
"FL, Clay",2001,12019,Non-human activity,0,0,0
"FL, Collier",2001,12021,Non-human activity,0,0,0
"FL, Columbia",2001,12023,Non-human activity,0,0,0
"FL, Dixie",2001,12029,Non-human activity,0,0,0
"FL, Duval",2001,12031,Human infections and non-human activity,1,1,0
"FL, Escambia",2001,12033,Non-human activity,0,0,0
"FL, Flagler",2001,12035,Non-human activity,0,0,0
"FL, Franklin",2001,12037,Non-human activity,0,0,0
"FL, Gadsden",2001,12039,Non-human activity,0,0,0
"FL, Gilchrist",2001,12041,Non-human activity,0,0,0
"FL, Glades",2001,12043,Non-human activity,0,0,0
"FL, Gulf",2001,12045,Non-human activity,0,0,0
"FL, Hamilton",2001,12047,Non-human activity,0,0,0
"FL, Hendry",2001,12051,Non-human activity,0,0,0
"FL, Hernando",2001,12053,Non-human activity,0,0,0
"FL, Highlands",2001,12055,Non-human activity,0,0,0
"FL, Hillsborough",2001,12057,Non-human activity,0,0,0
"FL, Holmes",2001,12059,Non-human activity,0,0,0
"FL, Indian River",2001,12061,Non-human activity,0,0,0
"FL, Jackson",2001,12063,Non-human activity,0,0,0
"FL, Jefferson",2001,12065,Human infections and non-human activity,1,1,0
"FL, Lafayette",2001,12067,Non-human activity,0,0,0
"FL, Lake",2001,12069,Non-human activity,0,0,0
"FL, Lee",2001,12071,Non-human activity,0,0,0
