FullGeoName,Year,County,Activity,Reported human cases,Neuroinvasive disease cases,Identified by Blood Donor Screening
"AL, Baldwin",2022,01003,Human infections,1,1,0
"AL, Elmore",2022,01051,Human infections and non-human activity,1,1,1
"AL, Madison",2022,01089,Human infections,1,1,0
"AL, Mobile",2022,01097,Human infections and non-human activity,2,2,0
"AL, Montgomery",2022,01101,Human infections,1,1,0
"AL, St Clair",2022,01115,Human infections,0,0,1
"AZ, Graham",2022,04009,Human infections,3,0,3
"AZ, La Paz",2022,04012,Human infections,1,1,0
"AZ, Maricopa",2022,04013,Human infections and non-human activity,35,27,2
"AZ, Pima",2022,04019,Human infections and non-human activity,11,10,1
"AZ, Pinal",2022,04021,Human infections and non-human activity,2,1,1
"AZ, Yavapai",2022,04025,Human infections,1,1,0
"AZ, Yuma",2022,04027,Non-human activity,0,0,0
"AR, Conway",2022,05029,Human infections,1,1,0
"AR, Crittenden",2022,05035,Human infections,1,1,0
"AR, Dallas",2022,05039,Human infections,1,0,0
"AR, Lawrence",2022,05075,Non-human activity,0,0,0
"AR, Pulaski",2022,05119,Human infections,1,0,0
"AR, Washington",2022,05143,Human infections,1,1,0
"CA, Alameda",2022,06001,Human infections,1,1,0
"CA, Butte",2022,06007,Human infections and non-human activity,3,3,0
"CA, Colusa",2022,06011,Human infections and non-human activity,1,1,0
"CA, Contra Costa",2022,06013,Human infections and non-human activity,1,1,0
"CA, Fresno",2022,06019,Human infections and non-human activity,30,21,5
"CA, Glenn",2022,06021,Human infections and non-human activity,1,1,0
"CA, Imperial",2022,06025,Non-human activity,0,0,0
"CA, Kern",2022,06029,Human infections and non-human activity,22,17,2
"CA, Kings",2022,06031,Human infections and non-human activity,7,6,0
"CA, Lake",2022,06033,Non-human activity,0,0,0
"CA, Los Angeles",2022,06037,Human infections and non-human activity,61,45,8
"CA, Madera",2022,06039,Human infections and non-human activity,3,3,0
"CA, Merced",2022,06047,Human infections and non-human activity,7,7,0
"CA, Napa",2022,06055,Non-human activity,0,0,0
"CA, Nevada",2022,06057,Non-human activity,0,0,0
"CA, Orange",2022,06059,Human infections and non-human activity,9,7,2
"CA, Placer",2022,06061,Human infections and non-human activity,2,2,0
"CA, Riverside",2022,06065,Non-human activity,0,0,0
"CA, Sacramento",2022,06067,Human infections and non-human activity,5,5,0
"CA, San Bernardino",2022,06071,Human infections and non-human activity,4,4,0
"CA, San Diego",2022,06073,Human infections,3,1,0
"CA, San Joaquin",2022,06077,Human infections and non-human activity,4,2,1
"CA, San Luis Obispo",2022,06079,Non-human activity,0,0,0
"CA, San Mateo",2022,06081,Human infections,1,1,0
"CA, Santa Clara",2022,06085,Human infections and non-human activity,1,1,0
"CA, Shasta",2022,06089,Human infections and non-human activity,1,1,0
"CA, Solano",2022,06095,Human infections and non-human activity,2,2,0
"CA, Sonoma",2022,06097,Non-human activity,0,0,0
"CA, Stanislaus",2022,06099,Human infections and non-human activity,15,10,0
"CA, Sutter",2022,06101,Human infections and non-human activity,1,1,0
"CA, Tehama",2022,06103,Human infections and non-human activity,3,2,0
"CA, Tulare",2022,06107,Human infections and non-human activity,15,14,0
"CA, Ventura",2022,06111,Non-human activity,0,0,0
"CA, Yolo",2022,06113,Human infections and non-human activity,3,2,0
"CA, Yuba",2022,06115,Human infections and non-human activity,1,1,0
"CO, Adams",2022,08001,Human infections and non-human activity,23,18,2
"CO, Arapahoe",2022,08005,Human infections,4,4,0
"CO, Boulder",2022,08013,Human infections and non-human activity,38,23,7
"CO, Broomfield",2022,08014,Human infections,6,4,1
"CO, Delta",2022,08029,Human infections and non-human activity,18,7,0
"CO, Denver",2022,08031,Human infections and non-human activity,7,6,0
"CO, Douglas",2022,08035,Human infections,3,1,0
"CO, Eagle",2022,08037,Human infections,1,0,0
"CO, Elbert",2022,08039,Human infections,2,2,0
"CO, El Paso",2022,08041,Human infections,0,0,1
"CO, Fremont",2022,08043,Human infections,1,1,0
"CO, Garfield",2022,08045,Human infections,1,1,0
"CO, Grand",2022,08049,Human infections,1,1,0
"CO, Jefferson",2022,08059,Human infections,6,3,1
"CO, La Plata",2022,08067,Human infections,1,1,0
"CO, Larimer",2022,08069,Human infections and non-human activity,15,8,2
"CO, Mesa",2022,08077,Human infections and non-human activity,4,4,0
"CO, Montrose",2022,08085,Human infections,38,23,0
"CO, Otero",2022,08089,Non-human activity,0,0,0
"CO, Prowers",2022,08099,Human infections,1,1,0
"CO, Rio Blanco",2022,08103,Human infections,1,1,0
"CO, Weld",2022,08123,Human infections and non-human activity,35,22,2
"CT, Fairfield",2022,09001,Human infections and non-human activity,2,2,0
"CT, Hartford",2022,09003,Human infections and non-human activity,1,1,0
"CT, Litchfield",2022,09005,Human infections and non-human activity,2,2,0
"CT, Middlesex",2022,09007,Non-human activity,0,0,0
"CT, New Haven",2022,09009,Human infections and non-human activity,2,2,0
"CT, New London",2022,09011,Non-human activity,0,0,0
"CT, Windham",2022,09015,Non-human activity,0,0,0
"DE, Kent",2022,10001,Non-human activity,0,0,0
"DE, New Castle",2022,10003,Non-human activity,0,0,0
"DE, Sussex",2022,10005,Human infections and non-human activity,1,1,0
"DC, Washington",2022,11001,Human infections and non-human activity,1,1,0
"FL, Alachua",2022,12001,Non-human activity,0,0,0
"FL, Bay",2022,12005,Non-human activity,0,0,0
"FL, Brevard",2022,12009,Non-human activity,0,0,0
"FL, Charlotte",2022,12015,Non-human activity,0,0,0
"FL, Citrus",2022,12017,Non-human activity,0,0,0
"FL, Collier",2022,12021,Non-human activity,0,0,0
"FL, Duval",2022,12031,Non-human activity,0,0,0
"FL, Escambia",2022,12033,Human infections,1,1,0
"FL, Hernando",2022,12053,Non-human activity,0,0,0
"FL, Hillsborough",2022,12057,Human infections and non-human activity,1,1,0
"FL, Lee",2022,12071,Non-human activity,0,0,0
"FL, Leon",2022,12073,Non-human activity,0,0,0
"FL, Manatee",2022,12081,Non-human activity,0,0,0
"FL, Martin",2022,12085,Non-human activity,0,0,0
"FL, Nassau",2022,12089,Non-human activity,0,0,0
"FL, Orange",2022,12095,Non-human activity,0,0,0
"FL, Palm Beach",2022,12099,Non-human activity,0,0,0
"FL, Pasco",2022,12101,Non-human activity,0,0,0
"FL, Pinellas",2022,12103,Non-human activity,0,0,0
"FL, Polk",2022,12105,Non-human activity,0,0,0
"FL, St Johns",2022,12109,Human infections and non-human activity,1,1,0
"FL, St Lucie",2022,12111,Non-human activity,0,0,0
"FL, Santa Rosa",2022,12113,Human infections,1,1,0
"FL, Sarasota",2022,12115,Human infections and non-human activity,1,1,0
"FL, Seminole",2022,12117,Non-human activity,0,0,0
"FL, Sumter",2022,12119,Non-human activity,0,0,0
"FL, Volusia",2022,12127,Human infections and non-human activity,2,2,0
"FL, Walton",2022,12131,Non-human activity,0,0,0
"GA, Bacon",2022,13005,Human infections,1,1,0
"GA, Ben Hill",2022,13017,Human infections,1,1,0
"GA, Chatham",2022,13051,Non-human activity,0,0,0
