FullGeoName,Year,County,Activity,Reported human cases,Neuroinvasive disease cases,Identified by Blood Donor Screening
"AL, Baldwin",2005,01003,Human infections and non-human activity,0,0,1
"AL, Bibb",2005,01007,Non-human activity,0,0,0
"AL, Chambers",2005,01017,Non-human activity,0,0,0
"AL, Colbert",2005,01033,Non-human activity,0,0,0
"AL, Dallas",2005,01047,Human infections,1,0,0
"AL, Elmore",2005,01051,Human infections,1,1,0
"AL, Escambia",2005,01053,Non-human activity,0,0,0
"AL, Etowah",2005,01055,Human infections,1,0,0
"AL, Jefferson",2005,01073,Human infections and non-human activity,1,0,0
"AL, Lee",2005,01081,Human infections and non-human activity,0,0,1
"AL, Lowndes",2005,01085,Non-human activity,0,0,0
"AL, Macon",2005,01087,Non-human activity,0,0,0
"AL, Mobile",2005,01097,Non-human activity,0,0,0
"AL, Montgomery",2005,01101,Human infections and non-human activity,6,5,2
"AL, Pike",2005,01109,Non-human activity,0,0,0
"AL, St Clair",2005,01115,Non-human activity,0,0,0
"AL, Shelby",2005,01117,Non-human activity,0,0,0
"AZ, Apache",2005,04001,Human infections and non-human activity,1,1,0
"AZ, Cochise",2005,04003,Human infections and non-human activity,1,1,0
"AZ, Coconino",2005,04005,Non-human activity,0,0,0
"AZ, Gila",2005,04007,Non-human activity,0,0,0
"AZ, Graham",2005,04009,Human infections and non-human activity,2,0,1
"AZ, La Paz",2005,04012,Human infections and non-human activity,1,1,0
"AZ, Maricopa",2005,04013,Human infections and non-human activity,80,32,14
"AZ, Mohave",2005,04015,Human infections and non-human activity,3,3,0
"AZ, Navajo",2005,04017,Non-human activity,0,0,0
"AZ, Pima",2005,04019,Human infections and non-human activity,16,11,4
"AZ, Pinal",2005,04021,Human infections and non-human activity,7,2,1
"AZ, Santa Cruz",2005,04023,Non-human activity,0,0,0
"AZ, Yavapai",2005,04025,Human infections and non-human activity,1,0,0
"AZ, Yuma",2005,04027,Human infections and non-human activity,1,1,0
"AR, Arkansas",2005,05001,Non-human activity,0,0,0
"AR, Ashley",2005,05003,Non-human activity,0,0,0
"AR, Benton",2005,05007,Human infections and non-human activity,2,2,0
"AR, Boone",2005,05009,Human infections,1,0,0
"AR, Bradley",2005,05011,Human infections and non-human activity,1,0,0
"AR, Calhoun",2005,05013,Non-human activity,0,0,0
"AR, Carroll",2005,05015,Non-human activity,0,0,0
"AR, Columbia",2005,05027,Human infections,1,1,0
"AR, Conway",2005,05029,Human infections,1,1,0
"AR, Crawford",2005,05033,Human infections,1,0,0
"AR, Crittenden",2005,05035,Human infections and non-human activity,1,1,0
"AR, Desha",2005,05041,Human infections,1,1,0
"AR, Drew",2005,05043,Human infections and non-human activity,2,1,0
"AR, Franklin",2005,05047,Non-human activity,0,0,0
"AR, Garland",2005,05051,Human infections,2,0,0
"AR, Greene",2005,05055,Non-human activity,0,0,0
"AR, Jefferson",2005,05069,Human infections and non-human activity,5,0,0
"AR, Lee",2005,05077,Non-human activity,0,0,0
"AR, Lincoln",2005,05079,Non-human activity,0,0,0
"AR, Logan",2005,05083,Non-human activity,0,0,0
"AR, Marion",2005,05089,Non-human activity,0,0,0
"AR, Miller",2005,05091,Non-human activity,0,0,0
"AR, Mississippi",2005,05093,Non-human activity,0,0,0
"AR, Montgomery",2005,05097,Non-human activity,0,0,0
"AR, Pope",2005,05115,Non-human activity,0,0,0
"AR, Pulaski",2005,05119,Human infections and non-human activity,3,2,0
"AR, Saline",2005,05125,Human infections,1,0,0
"AR, Sebastian",2005,05131,Human infections and non-human activity,1,0,0
"AR, Sharp",2005,05135,Non-human activity,0,0,0
"AR, Stone",2005,05137,Non-human activity,0,0,0
"AR, Union",2005,05139,Human infections and non-human activity,5,4,0
"AR, Washington",2005,05143,Non-human activity,0,0,0
"CA, Alameda",2005,06001,Human infections and non-human activity,1,0,0
"CA, Amador",2005,06005,Human infections and non-human activity,3,1,1
"CA, Butte",2005,06007,Human infections and non-human activity,24,3,3
"CA, Calaveras",2005,06009,Human infections and non-human activity,2,2,0
"CA, Colusa",2005,06011,Human infections and non-human activity,2,0,0
"CA, Contra Costa",2005,06013,Human infections and non-human activity,11,6,0
"CA, El Dorado",2005,06017,Human infections and non-human activity,1,1,0
"CA, Fresno",2005,06019,Human infections and non-human activity,59,13,9
"CA, Glenn",2005,06021,Human infections and non-human activity,13,3,2
"CA, Humboldt",2005,06023,Human infections and non-human activity,1,1,0
"CA, Imperial",2005,06025,Human infections and non-human activity,1,0,0
"CA, Inyo",2005,06027,Non-human activity,0,0,0
"CA, Kern",2005,06029,Human infections and non-human activity,67,20,2
"CA, Kings",2005,06031,Human infections and non-human activity,32,4,1
"CA, Lake",2005,06033,Non-human activity,0,0,0
"CA, Lassen",2005,06035,Non-human activity,0,0,0
"CA, Los Angeles",2005,06037,Human infections and non-human activity,40,30,7
"CA, Madera",2005,06039,Human infections and non-human activity,18,4,3
"CA, Marin",2005,06041,Non-human activity,0,0,0
"CA, Mariposa",2005,06043,Non-human activity,0,0,0
"CA, Mendocino",2005,06045,Non-human activity,0,0,0
"CA, Merced",2005,06047,Human infections and non-human activity,25,7,6
"CA, Modoc",2005,06049,Non-human activity,0,0,0
"CA, Mono",2005,06051,Non-human activity,0,0,0
"CA, Monterey",2005,06053,Non-human activity,0,0,0
"CA, Napa",2005,06055,Non-human activity,0,0,0
"CA, Nevada",2005,06057,Human infections and non-human activity,4,1,0
"CA, Orange",2005,06059,Human infections and non-human activity,17,13,1
"CA, Placer",2005,06061,Human infections and non-human activity,35,9,4
"CA, Plumas",2005,06063,Human infections and non-human activity,1,1,0
"CA, Riverside",2005,06065,Human infections and non-human activity,103,59,4
"CA, Sacramento",2005,06067,Human infections and non-human activity,163,46,13
"CA, San Benito",2005,06069,Non-human activity,0,0,0
