FullGeoName,Year,County,Activity,Reported human cases,Neuroinvasive disease cases,Identified by Blood Donor Screening
"AL, Baldwin",2010,01003,Non-human activity,0,0,0
"AL, Mobile",2010,01097,Human infections,3,1,0
"AZ, Apache",2010,04001,Human infections,1,1,0
"AZ, Cochise",2010,04003,Human infections and non-human activity,2,1,0
"AZ, Coconino",2010,04005,Human infections and non-human activity,2,2,0
"AZ, Gila",2010,04007,Human infections,9,6,0
"AZ, Graham",2010,04009,Human infections and non-human activity,9,7,0
"AZ, Maricopa",2010,04013,Human infections and non-human activity,116,68,24
"AZ, Mohave",2010,04015,Non-human activity,0,0,0
"AZ, Navajo",2010,04017,Human infections and non-human activity,1,1,0
"AZ, Pima",2010,04019,Human infections and non-human activity,12,10,4
"AZ, Pinal",2010,04021,Human infections and non-human activity,15,11,3
"AZ, Yavapai",2010,04025,Non-human activity,0,0,0
"AZ, Yuma",2010,04027,Non-human activity,0,0,0
"AR, Boone",2010,05009,Non-human activity,0,0,0
"AR, Bradley",2010,05011,Human infections,4,3,0
"AR, Jefferson",2010,05069,Human infections,2,2,0
"AR, Lincoln",2010,05079,Human infections,1,1,0
"CA, Alameda",2010,06001,Human infections and non-human activity,1,1,0
"CA, Amador",2010,06005,Non-human activity,0,0,0
"CA, Butte",2010,06007,Human infections and non-human activity,1,1,0
"CA, Calaveras",2010,06009,Human infections,0,0,1
"CA, Colusa",2010,06011,Non-human activity,0,0,0
"CA, Contra Costa",2010,06013,Human infections and non-human activity,4,4,1
"CA, El Dorado",2010,06017,Human infections and non-human activity,0,0,1
"CA, Fresno",2010,06019,Human infections and non-human activity,23,12,5
"CA, Glenn",2010,06021,Human infections and non-human activity,2,0,0
"CA, Imperial",2010,06025,Non-human activity,0,0,0
"CA, Kern",2010,06029,Human infections and non-human activity,15,7,1
"CA, Kings",2010,06031,Human infections and non-human activity,1,1,1
"CA, Lake",2010,06033,Non-human activity,0,0,0
"CA, Lassen",2010,06035,Non-human activity,0,0,0
"CA, Los Angeles",2010,06037,Human infections and non-human activity,4,3,0
"CA, Madera",2010,06039,Human infections and non-human activity,7,4,3
"CA, Merced",2010,06047,Human infections and non-human activity,1,1,1
"CA, Mono",2010,06051,Non-human activity,0,0,0
"CA, Orange",2010,06059,Human infections and non-human activity,1,1,0
"CA, Placer",2010,06061,Human infections and non-human activity,3,3,1
"CA, Riverside",2010,06065,Non-human activity,0,0,0
"CA, Sacramento",2010,06067,Human infections and non-human activity,12,7,1
"CA, San Bernardino",2010,06071,Human infections and non-human activity,5,4,0
"CA, San Diego",2010,06073,Non-human activity,0,0,0
"CA, San Francisco",2010,06075,Human infections,1,1,0
"CA, San Joaquin",2010,06077,Human infections and non-human activity,6,5,1
"CA, San Mateo",2010,06081,Non-human activity,0,0,0
"CA, Santa Clara",2010,06085,Non-human activity,0,0,0
"CA, Santa Cruz",2010,06087,Non-human activity,0,0,0
"CA, Shasta",2010,06089,Non-human activity,0,0,0
"CA, Solano",2010,06095,Non-human activity,0,0,0
"CA, Stanislaus",2010,06099,Human infections and non-human activity,12,9,2
"CA, Sutter",2010,06101,Non-human activity,0,0,0
"CA, Tehama",2010,06103,Non-human activity,0,0,0
"CA, Tulare",2010,06107,Human infections and non-human activity,12,8,4
"CA, Yolo",2010,06113,Non-human activity,0,0,0
"CA, Yuba",2010,06115,Human infections and non-human activity,0,0,1
"CO, Adams",2010,08001,Human infections and non-human activity,3,2,0
"CO, Arapahoe",2010,08005,Human infections,7,4,0
"CO, Baca",2010,08009,Human infections,1,0,0
"CO, Boulder",2010,08013,Human infections and non-human activity,6,2,0
"CO, Delta",2010,08029,Human infections and non-human activity,1,0,0
"CO, Denver",2010,08031,Human infections,1,1,0
"CO, Douglas",2010,08035,Human infections,1,0,0
"CO, El Paso",2010,08041,Human infections,1,0,0
"CO, Jefferson",2010,08059,Human infections and non-human activity,1,0,0
"CO, Kit Carson",2010,08063,Human infections,1,0,0
"CO, La Plata",2010,08067,Human infections and non-human activity,2,1,0
"CO, Larimer",2010,08069,Human infections and non-human activity,13,3,0
"CO, Logan",2010,08075,Non-human activity,0,0,0
"CO, Mesa",2010,08077,Human infections and non-human activity,12,4,1
"CO, Moffat",2010,08081,Human infections,1,0,0
"CO, Montezuma",2010,08083,Non-human activity,0,0,0
"CO, Otero",2010,08089,Non-human activity,0,0,0
"CO, Phillips",2010,08095,Human infections,4,0,0
"CO, Prowers",2010,08099,Human infections and non-human activity,4,2,0
"CO, Pueblo",2010,08101,Human infections and non-human activity,2,1,0
"CO, Sedgwick",2010,08115,Human infections,2,0,0
"CO, Weld",2010,08123,Human infections and non-human activity,18,6,0
"CT, Fairfield",2010,09001,Human infections and non-human activity,7,4,1
"CT, Hartford",2010,09003,Human infections and non-human activity,2,1,0
"CT, Litchfield",2010,09005,Human infections,0,0,1
"CT, Middlesex",2010,09007,Human infections,1,1,0
"CT, New Haven",2010,09009,Human infections and non-human activity,1,1,1
"CT, New London",2010,09011,Human infections and non-human activity,0,0,1
"CT, Tolland",2010,09013,Human infections,0,0,1
"DE, Kent",2010,10001,Non-human activity,0,0,0
"DE, New Castle",2010,10003,Non-human activity,0,0,0
"DE, Sussex",2010,10005,Non-human activity,0,0,0
"DC, Washington",2010,11001,Human infections and non-human activity,6,3,0
"FL, Alachua",2010,12001,Non-human activity,0,0,0
"FL, Bradford",2010,12007,Non-human activity,0,0,0
"FL, Brevard",2010,12009,Human infections and non-human activity,1,1,1
"FL, Broward",2010,12011,Human infections,1,0,0
"FL, Charlotte",2010,12015,Non-human activity,0,0,0
"FL, Citrus",2010,12017,Non-human activity,0,0,0
"FL, Collier",2010,12021,Human infections,2,2,0
"FL, De Soto",2010,12027,Human infections and non-human activity,1,0,0
"FL, Duval",2010,12031,Human infections and non-human activity,1,1,0
"FL, Flagler",2010,12035,Non-human activity,0,0,0
