FullGeoName,Year,County,Activity,Reported human cases,Neuroinvasive disease cases,Identified by Blood Donor Screening
"AL, Autauga",2017,01001,Human infections,6,3,0
"AL, Baldwin",2017,01003,Human infections,3,2,0
"AL, Bibb",2017,01007,Human infections,1,0,0
"AL, Blount",2017,01009,Non-human activity,0,0,0
"AL, Bullock",2017,01011,Human infections,1,1,0
"AL, Calhoun",2017,01015,Human infections,2,2,0
"AL, Chilton",2017,01021,Human infections and non-human activity,3,3,0
"AL, Clay",2017,01027,Non-human activity,0,0,0
"AL, Cleburne",2017,01029,Human infections,1,1,0
"AL, Colbert",2017,01033,Human infections,2,1,0
"AL, Covington",2017,01039,Human infections,1,1,0
"AL, Cullman",2017,01043,Human infections,1,1,0
"AL, Dallas",2017,01047,Human infections,2,0,0
"AL, Elmore",2017,01051,Human infections and non-human activity,3,2,0
"AL, Etowah",2017,01055,Human infections,2,1,1
"AL, Fayette",2017,01057,Human infections,0,0,1
"AL, Franklin",2017,01059,Human infections,1,1,0
"AL, Henry",2017,01067,Human infections,1,1,0
"AL, Houston",2017,01069,Human infections,0,0,1
"AL, Jefferson",2017,01073,Human infections,6,4,3
"AL, Lamar",2017,01075,Non-human activity,0,0,0
"AL, Lee",2017,01081,Non-human activity,0,0,0
"AL, Madison",2017,01089,Human infections,2,2,3
"AL, Mobile",2017,01097,Human infections and non-human activity,0,0,1
"AL, Monroe",2017,01099,Human infections,1,0,0
"AL, Montgomery",2017,01101,Human infections,12,7,0
"AL, Morgan",2017,01103,Human infections,1,1,0
"AL, Pike",2017,01109,Human infections,0,0,1
"AL, Shelby",2017,01117,Human infections,4,4,1
"AL, Sumter",2017,01119,Human infections,1,0,0
"AL, Tuscaloosa",2017,01125,Human infections,3,2,1
"AZ, Cochise",2017,04003,Non-human activity,0,0,0
"AZ, Graham",2017,04009,Human infections,1,1,0
"AZ, Maricopa",2017,04013,Human infections and non-human activity,93,81,12
"AZ, Mohave",2017,04015,Human infections,1,1,0
"AZ, Navajo",2017,04017,Human infections,1,0,1
"AZ, Pima",2017,04019,Human infections,5,5,2
"AZ, Pinal",2017,04021,Human infections and non-human activity,10,10,1
"AZ, Yuma",2017,04027,Non-human activity,0,0,0
"AR, Bradley",2017,05011,Non-human activity,0,0,0
"AR, Columbia",2017,05027,Human infections,1,1,0
"AR, Crawford",2017,05033,Human infections,1,1,0
"AR, Desha",2017,05041,Human infections,1,0,0
"AR, Grant",2017,05053,Human infections,0,0,1
"AR, Howard",2017,05061,Human infections,0,0,1
"AR, Jefferson",2017,05069,Human infections,1,1,0
"AR, Lincoln",2017,05079,Human infections,1,1,0
"AR, Lonoke",2017,05085,Human infections,1,1,0
"AR, Marion",2017,05089,Human infections,1,1,0
"AR, Ouachita",2017,05103,Human infections,1,1,0
"AR, Pulaski",2017,05119,Human infections,3,3,0
"AR, Saline",2017,05125,Human infections,2,1,2
"AR, Sebastian",2017,05131,Human infections,1,1,0
"AR, Sharp",2017,05135,Human infections,1,0,0
"AR, Stone",2017,05137,Human infections,0,0,1
"AR, Union",2017,05139,Human infections,1,1,0
"AR, White",2017,05145,Human infections,2,2,0
"CA, Alameda",2017,06001,Human infections and non-human activity,1,1,0
"CA, Butte",2017,06007,Human infections and non-human activity,4,3,1
"CA, Calaveras",2017,06009,Non-human activity,0,0,0
"CA, Colusa",2017,06011,Non-human activity,0,0,0
"CA, Contra Costa",2017,06013,Human infections and non-human activity,4,2,1
"CA, El Dorado",2017,06017,Non-human activity,0,0,0
"CA, Fresno",2017,06019,Human infections and non-human activity,13,10,1
"CA, Glenn",2017,06021,Non-human activity,0,0,0
"CA, Humboldt",2017,06023,Human infections and non-human activity,0,0,1
"CA, Imperial",2017,06025,Human infections,3,2,0
"CA, Inyo",2017,06027,Human infections and non-human activity,4,1,0
"CA, Kern",2017,06029,Human infections and non-human activity,30,18,2
"CA, Kings",2017,06031,Human infections and non-human activity,5,1,0
"CA, Lake",2017,06033,Non-human activity,0,0,0
"CA, Lassen",2017,06035,Non-human activity,0,0,0
"CA, Los Angeles",2017,06037,Human infections and non-human activity,277,223,14
"CA, Madera",2017,06039,Human infections and non-human activity,2,2,0
"CA, Marin",2017,06041,Non-human activity,0,0,0
"CA, Merced",2017,06047,Human infections and non-human activity,10,5,1
"CA, Monterey",2017,06053,Non-human activity,0,0,0
"CA, Nevada",2017,06057,Non-human activity,0,0,0
"CA, Orange",2017,06059,Human infections and non-human activity,33,24,7
"CA, Placer",2017,06061,Human infections and non-human activity,0,0,2
"CA, Plumas",2017,06063,Non-human activity,0,0,0
"CA, Riverside",2017,06065,Human infections and non-human activity,32,20,6
"CA, Sacramento",2017,06067,Human infections and non-human activity,6,2,1
"CA, San Benito",2017,06069,Non-human activity,0,0,0
"CA, San Bernardino",2017,06071,Human infections and non-human activity,57,45,13
"CA, San Diego",2017,06073,Human infections and non-human activity,2,0,0
"CA, San Francisco",2017,06075,Human infections and non-human activity,1,0,0
"CA, San Joaquin",2017,06077,Human infections and non-human activity,14,9,0
"CA, San Luis Obispo",2017,06079,Non-human activity,0,0,0
"CA, San Mateo",2017,06081,Non-human activity,0,0,0
"CA, Santa Barbara",2017,06083,Non-human activity,0,0,0
"CA, Santa Clara",2017,06085,Non-human activity,0,0,0
"CA, Santa Cruz",2017,06087,Non-human activity,0,0,0
"CA, Shasta",2017,06089,Human infections and non-human activity,1,1,0
"CA, Solano",2017,06095,Human infections and non-human activity,1,0,0
"CA, Sonoma",2017,06097,Non-human activity,0,0,0
"CA, Stanislaus",2017,06099,Human infections and non-human activity,28,14,3
