FullGeoName,Year,County,Activity,Reported human cases,Neuroinvasive disease cases,Identified by Blood Donor Screening
"AL, Autauga",2004,01001,Non-human activity,0,0,0
"AL, Baldwin",2004,01003,Human infections and non-human activity,1,0,0
"AL, Blount",2004,01009,Non-human activity,0,0,0
"AL, Calhoun",2004,01015,Non-human activity,0,0,0
"AL, Coffee",2004,01031,Non-human activity,0,0,0
"AL, Covington",2004,01039,Non-human activity,0,0,0
"AL, Elmore",2004,01051,Non-human activity,0,0,0
"AL, Greene",2004,01063,Non-human activity,0,0,0
"AL, Houston",2004,01069,Non-human activity,0,0,0
"AL, Jefferson",2004,01073,Non-human activity,0,0,0
"AL, Lee",2004,01081,Non-human activity,0,0,0
"AL, Limestone",2004,01083,Non-human activity,0,0,0
"AL, Madison",2004,01089,Non-human activity,0,0,0
"AL, Marshall",2004,01095,Non-human activity,0,0,0
"AL, Mobile",2004,01097,Human infections and non-human activity,13,13,0
"AL, Montgomery",2004,01101,Non-human activity,0,0,0
"AL, Sumter",2004,01119,Non-human activity,0,0,0
"AL, Talladega",2004,01121,Non-human activity,0,0,0
"AL, Tuscaloosa",2004,01125,Human infections and non-human activity,2,2,0
"AL, Walker",2004,01127,Non-human activity,0,0,0
"AZ, Apache",2004,04001,Human infections and non-human activity,5,4,0
"AZ, Cochise",2004,04003,Human infections and non-human activity,1,0,1
"AZ, Coconino",2004,04005,Non-human activity,0,0,0
"AZ, Gila",2004,04007,Human infections and non-human activity,1,0,0
"AZ, Graham",2004,04009,Human infections and non-human activity,4,1,0
"AZ, La Paz",2004,04012,Non-human activity,0,0,0
"AZ, Maricopa",2004,04013,Human infections and non-human activity,357,196,33
"AZ, Mohave",2004,04015,Human infections and non-human activity,5,3,1
"AZ, Navajo",2004,04017,Human infections and non-human activity,1,1,0
"AZ, Pima",2004,04019,Human infections and non-human activity,7,3,1
"AZ, Pinal",2004,04021,Human infections and non-human activity,8,5,0
"AZ, Santa Cruz",2004,04023,Non-human activity,0,0,0
"AZ, Yavapai",2004,04025,Human infections and non-human activity,1,1,0
"AZ, Yuma",2004,04027,Human infections and non-human activity,1,1,0
"AR, Arkansas",2004,05001,Non-human activity,0,0,0
"AR, Ashley",2004,05003,Human infections and non-human activity,1,0,0
"AR, Baxter",2004,05005,Non-human activity,0,0,0
"AR, Benton",2004,05007,Non-human activity,0,0,0
"AR, Boone",2004,05009,Non-human activity,0,0,0
"AR, Bradley",2004,05011,Non-human activity,0,0,0
"AR, Carroll",2004,05015,Non-human activity,0,0,0
"AR, Chicot",2004,05017,Human infections and non-human activity,1,1,0
"AR, Clark",2004,05019,Human infections,1,0,0
"AR, Columbia",2004,05027,Non-human activity,0,0,0
"AR, Craighead",2004,05031,Human infections,1,1,0
"AR, Crawford",2004,05033,Non-human activity,0,0,0
"AR, Crittenden",2004,05035,Non-human activity,0,0,0
"AR, Desha",2004,05041,Human infections,1,1,0
"AR, Drew",2004,05043,Human infections and non-human activity,1,1,0
"AR, Faulkner",2004,05045,Non-human activity,0,0,0
"AR, Franklin",2004,05047,Non-human activity,0,0,0
"AR, Garland",2004,05051,Human infections,1,1,0
"AR, Greene",2004,05055,Human infections and non-human activity,1,0,0
"AR, Independence",2004,05063,Non-human activity,0,0,0
"AR, Izard",2004,05065,Human infections,1,1,0
"AR, Jackson",2004,05067,Non-human activity,0,0,0
"AR, Jefferson",2004,05069,Human infections and non-human activity,2,1,0
"AR, Johnson",2004,05071,Non-human activity,0,0,0
"AR, Lawrence",2004,05075,Non-human activity,0,0,0
"AR, Lee",2004,05077,Non-human activity,0,0,0
"AR, Lincoln",2004,05079,Human infections,1,1,0
"AR, Logan",2004,05083,Non-human activity,0,0,0
"AR, Lonoke",2004,05085,Human infections and non-human activity,1,0,0
"AR, Miller",2004,05091,Non-human activity,0,0,0
"AR, Mississippi",2004,05093,Human infections and non-human activity,1,0,0
"AR, Monroe",2004,05095,Non-human activity,0,0,0
"AR, Nevada",2004,05099,Human infections,1,1,0
"AR, Ouachita",2004,05103,Human infections and non-human activity,1,0,0
"AR, Phillips",2004,05107,Human infections,1,1,0
"AR, Pike",2004,05109,Non-human activity,0,0,0
"AR, Poinsett",2004,05111,Non-human activity,0,0,0
"AR, Polk",2004,05113,Non-human activity,0,0,0
"AR, Pope",2004,05115,Human infections,1,0,0
"AR, Pulaski",2004,05119,Human infections and non-human activity,6,4,0
"AR, Randolph",2004,05121,Non-human activity,0,0,0
"AR, St Francis",2004,05123,Non-human activity,0,0,0
"AR, Saline",2004,05125,Non-human activity,0,0,0
"AR, Scott",2004,05127,Human infections and non-human activity,1,1,0
"AR, Sebastian",2004,05131,Human infections and non-human activity,1,1,0
"AR, Union",2004,05139,Human infections,2,1,0
"AR, Van Buren",2004,05141,Non-human activity,0,0,0
"AR, Washington",2004,05143,Non-human activity,0,0,0
"AR, White",2004,05145,Non-human activity,0,0,0
"AR, Woodruff",2004,05147,Non-human activity,0,0,0
"CA, Alameda",2004,06001,Non-human activity,0,0,0
"CA, Alpine",2004,06003,Non-human activity,0,0,0
"CA, Amador",2004,06005,Non-human activity,0,0,0
"CA, Butte",2004,06007,Human infections and non-human activity,7,0,0
"CA, Calaveras",2004,06009,Non-human activity,0,0,0
"CA, Colusa",2004,06011,Non-human activity,0,0,0
"CA, Contra Costa",2004,06013,Non-human activity,0,0,0
"CA, Del Norte",2004,06015,Non-human activity,0,0,0
"CA, El Dorado",2004,06017,Non-human activity,0,0,0
