FullGeoName,Year,County,Activity,Reported human cases,Neuroinvasive disease cases,Identified by Blood Donor Screening
"AL, Baldwin",2014,01003,Human infections,0,0,1
"AL, Jefferson",2014,01073,Non-human activity,0,0,0
"AL, Mobile",2014,01097,Human infections and non-human activity,0,0,2
"AL, Morgan",2014,01103,Human infections,1,0,0
"AL, Pickens",2014,01107,Human infections,1,0,0
"AZ, Apache",2014,04001,Non-human activity,0,0,0
"AZ, Coconino",2014,04005,Human infections,1,0,0
"AZ, Gila",2014,04007,Human infections,0,0,1
"AZ, La Paz",2014,04012,Non-human activity,0,0,0
"AZ, Maricopa",2014,04013,Human infections and non-human activity,94,71,12
"AZ, Mohave",2014,04015,Human infections and non-human activity,1,0,0
"AZ, Pima",2014,04019,Human infections,5,5,3
"AZ, Pinal",2014,04021,Human infections and non-human activity,5,4,1
"AZ, Yavapai",2014,04025,Human infections and non-human activity,1,0,0
"AZ, Yuma",2014,04027,Non-human activity,0,0,0
"AR, Columbia",2014,05027,Human infections,1,1,0
"AR, Crittenden",2014,05035,Human infections,1,1,0
"AR, Garland",2014,05051,Human infections,1,1,0
"AR, Independence",2014,05063,Human infections,1,1,0
"AR, Little River",2014,05081,Human infections,1,1,0
"AR, Miller",2014,05091,Human infections,1,1,0
"AR, Pulaski",2014,05119,Human infections,1,1,0
"AR, Sebastian",2014,05131,Human infections and non-human activity,2,1,0
"AR, Sharp",2014,05135,Human infections,1,0,0
"AR, White",2014,05145,Human infections,1,1,0
"CA, Alameda",2014,06001,Human infections and non-human activity,1,1,0
"CA, Butte",2014,06007,Human infections and non-human activity,24,10,1
"CA, Calaveras",2014,06009,Non-human activity,0,0,0
"CA, Colusa",2014,06011,Human infections and non-human activity,3,0,0
"CA, Contra Costa",2014,06013,Human infections and non-human activity,5,5,2
"CA, El Dorado",2014,06017,Non-human activity,0,0,0
"CA, Fresno",2014,06019,Human infections and non-human activity,43,14,12
"CA, Glenn",2014,06021,Human infections and non-human activity,10,3,0
"CA, Humboldt",2014,06023,Non-human activity,0,0,0
"CA, Imperial",2014,06025,Human infections,1,1,0
"CA, Kern",2014,06029,Human infections and non-human activity,11,8,4
"CA, Kings",2014,06031,Human infections and non-human activity,4,2,2
"CA, Lake",2014,06033,Human infections and non-human activity,1,0,0
"CA, Los Angeles",2014,06037,Human infections and non-human activity,253,195,24
"CA, Madera",2014,06039,Human infections and non-human activity,3,2,0
"CA, Marin",2014,06041,Non-human activity,0,0,0
