FullGeoName,Year,County,Activity,Reported human cases,Neuroinvasive disease cases,Identified by Blood Donor Screening
"AL, Baldwin",2009,01003,Non-human activity,0,0,0
"AL, Blount",2009,01009,Non-human activity,0,0,0
"AL, Butler",2009,01013,Non-human activity,0,0,0
"AL, Cullman",2009,01043,Non-human activity,0,0,0
"AL, Dallas",2009,01047,Non-human activity,0,0,0
"AL, Escambia",2009,01053,Non-human activity,0,0,0
"AL, Etowah",2009,01055,Non-human activity,0,0,0
"AL, Lawrence",2009,01079,Non-human activity,0,0,0
"AL, Russell",2009,01113,Non-human activity,0,0,0
"AZ, Coconino",2009,04005,Human infections,1,0,0
"AZ, Gila",2009,04007,Human infections,0,0,1
"AZ, Maricopa",2009,04013,Human infections and non-human activity,19,12,3
"AZ, Pima",2009,04019,Non-human activity,0,0,0
"AZ, Pinal",2009,04021,Non-human activity,0,0,0
"AZ, Santa Cruz",2009,04023,Non-human activity,0,0,0
"AZ, Yavapai",2009,04025,Non-human activity,0,0,0
"AZ, Yuma",2009,04027,Non-human activity,0,0,0
"AR, Benton",2009,05007,Human infections,1,1,0
"AR, Crawford",2009,05033,Human infections,1,1,0
"AR, Greene",2009,05055,Non-human activity,0,0,0
"AR, Independence",2009,05063,Human infections,1,1,0
"AR, Jefferson",2009,05069,Non-human activity,0,0,0
"AR, Miller",2009,05091,Human infections and non-human activity,1,1,0
"AR, Sebastian",2009,05131,Human infections,2,2,0
"CA, Alameda",2009,06001,Non-human activity,0,0,0
"CA, Amador",2009,06005,Non-human activity,0,0,0
"CA, Butte",2009,06007,Human infections and non-human activity,2,0,0
"CA, Colusa",2009,06011,Non-human activity,0,0,0
"CA, Contra Costa",2009,06013,Human infections and non-human activity,5,4,1
"CA, El Dorado",2009,06017,Human infections and non-human activity,1,0,0
"CA, Fresno",2009,06019,Human infections and non-human activity,13,3,0
"CA, Glenn",2009,06021,Non-human activity,0,0,0
"CA, Imperial",2009,06025,Non-human activity,0,0,0
"CA, Kern",2009,06029,Human infections and non-human activity,18,9,4
"CA, Kings",2009,06031,Human infections and non-human activity,3,0,0
"CA, Lake",2009,06033,Non-human activity,0,0,0
"CA, Los Angeles",2009,06037,Human infections and non-human activity,20,15,7
"CA, Madera",2009,06039,Human infections and non-human activity,1,0,0
"CA, Merced",2009,06047,Human infections and non-human activity,4,4,0
"CA, Modoc",2009,06049,Non-human activity,0,0,0
"CA, Mono",2009,06051,Non-human activity,0,0,0
"CA, Monterey",2009,06053,Human infections and non-human activity,1,1,0
"CA, Napa",2009,06055,Non-human activity,0,0,0
"CA, Orange",2009,06059,Human infections and non-human activity,4,2,0
"CA, Placer",2009,06061,Non-human activity,0,0,0
"CA, Riverside",2009,06065,Human infections and non-human activity,3,3,2
"CA, Sacramento",2009,06067,Non-human activity,0,0,0
"CA, San Bernardino",2009,06071,Human infections and non-human activity,2,2,0
"CA, San Diego",2009,06073,Human infections and non-human activity,4,3,0
"CA, San Francisco",2009,06075,Non-human activity,0,0,0
"CA, San Joaquin",2009,06077,Human infections and non-human activity,10,8,3
"CA, San Luis Obispo",2009,06079,Non-human activity,0,0,0
"CA, San Mateo",2009,06081,Non-human activity,0,0,0
"CA, Santa Barbara",2009,06083,Non-human activity,0,0,0
"CA, Santa Clara",2009,06085,Non-human activity,0,0,0
"CA, Santa Cruz",2009,06087,Non-human activity,0,0,0
"CA, Shasta",2009,06089,Non-human activity,0,0,0
"CA, Solano",2009,06095,Non-human activity,0,0,0
"CA, Stanislaus",2009,06099,Human infections and non-human activity,14,11,2
"CA, Sutter",2009,06101,Non-human activity,0,0,0
"CA, Tehama",2009,06103,Non-human activity,0,0,0
"CA, Tulare",2009,06107,Human infections and non-human activity,4,2,5
"CA, Tuolumne",2009,06109,Non-human activity,0,0,0
"CA, Ventura",2009,06111,Non-human activity,0,0,0
"CA, Yolo",2009,06113,Human infections and non-human activity,2,0,0
"CA, Yuba",2009,06115,Human infections and non-human activity,1,0,0
"CO, Adams",2009,08001,Human infections and non-human activity,6,3,0
"CO, Arapahoe",2009,08005,Human infections and non-human activity,10,3,2
"CO, Boulder",2009,08013,Human infections and non-human activity,12,1,0
"CO, Broomfield",2009,08014,Human infections,1,0,0
"CO, Cheyenne",2009,08017,Human infections,2,1,0
"CO, Delta",2009,08029,Non-human activity,0,0,0
"CO, Denver",2009,08031,Human infections,1,0,0
"CO, Fremont",2009,08043,Non-human activity,0,0,0
"CO, Jefferson",2009,08059,Human infections and non-human activity,8,1,0
"CO, La Plata",2009,08067,Human infections and non-human activity,1,1,0
"CO, Larimer",2009,08069,Human infections and non-human activity,26,11,0
"CO, Las Animas",2009,08071,Non-human activity,0,0,0
"CO, Lincoln",2009,08073,Non-human activity,0,0,0
"CO, Logan",2009,08075,Human infections and non-human activity,1,1,0
"CO, Mesa",2009,08077,Human infections and non-human activity,2,2,0
"CO, Montrose",2009,08085,Non-human activity,0,0,0
"CO, Morgan",2009,08087,Human infections and non-human activity,3,0,0
"CO, Otero",2009,08089,Human infections and non-human activity,7,4,0
"CO, Prowers",2009,08099,Human infections and non-human activity,5,1,0
"CO, Pueblo",2009,08101,Human infections and non-human activity,2,1,0
"CO, Sedgwick",2009,08115,Human infections,1,1,0
"CO, Weld",2009,08123,Human infections and non-human activity,15,5,0
"CT, Fairfield",2009,09001,Non-human activity,0,0,0
"CT, Hartford",2009,09003,Non-human activity,0,0,0
"CT, Middlesex",2009,09007,Non-human activity,0,0,0
"CT, New Haven",2009,09009,Non-human activity,0,0,0
"CT, New London",2009,09011,Non-human activity,0,0,0
"DE, Kent",2009,10001,Non-human activity,0,0,0
"DE, New Castle",2009,10003,Non-human activity,0,0,0
"DE, Sussex",2009,10005,Non-human activity,0,0,0
"DC, Washington",2009,11001,Human infections and non-human activity,2,2,1
"FL, Alachua",2009,12001,Non-human activity,0,0,0
"FL, Bay",2009,12005,Non-human activity,0,0,0
"FL, Charlotte",2009,12015,Non-human activity,0,0,0
"FL, Citrus",2009,12017,Non-human activity,0,0,0
"FL, Clay",2009,12019,Human infections and non-human activity,1,0,0
"FL, Duval",2009,12031,Non-human activity,0,0,0
"FL, Gilchrist",2009,12041,Non-human activity,0,0,0
"FL, Gulf",2009,12045,Non-human activity,0,0,0
"FL, Hillsborough",2009,12057,Non-human activity,0,0,0
"FL, Lee",2009,12071,Human infections and non-human activity,1,1,0
"FL, Leon",2009,12073,Non-human activity,0,0,0
"FL, Marion",2009,12083,Non-human activity,0,0,0
"FL, Miami-Dade",2009,12086,Human infections,1,1,0
"FL, Nassau",2009,12089,Non-human activity,0,0,0
"FL, Palm Beach",2009,12099,Non-human activity,0,0,0
"FL, Putnam",2009,12107,Non-human activity,0,0,0
"FL, St Johns",2009,12109,Non-human activity,0,0,0
"FL, Santa Rosa",2009,12113,Non-human activity,0,0,0
"FL, Sarasota",2009,12115,Non-human activity,0,0,0
"FL, Seminole",2009,12117,Non-human activity,0,0,0
"FL, Walton",2009,12131,Non-human activity,0,0,0
"FL, Washington",2009,12133,Non-human activity,0,0,0
"GA, Ben Hill",2009,13017,Non-human activity,0,0,0
"GA, Bibb",2009,13021,Human infections,1,1,0
"GA, Brooks",2009,13027,Non-human activity,0,0,0
"GA, Clinch",2009,13065,Human infections,0,0,1
"GA, Cobb",2009,13067,Non-human activity,0,0,0
"GA, De Kalb",2009,13089,Non-human activity,0,0,0
"GA, Fulton",2009,13121,Non-human activity,0,0,0
"GA, Lowndes",2009,13185,Non-human activity,0,0,0
"GA, Muscogee",2009,13215,Human infections and non-human activity,2,2,0
"GA, Tift",2009,13277,Human infections,1,1,0
"GA, Ware",2009,13299,Human infections,0,0,1
"ID, Ada",2009,16001,Human infections and non-human activity,4,1,2
"ID, Adams",2009,16003,Human infections and non-human activity,1,1,0
"ID, Bonneville",2009,16019,Human infections,1,1,0
"ID, Canyon",2009,16027,Human infections and non-human activity,9,1,0
"ID, Custer",2009,16037,Human infections and non-human activity,1,0,0
"ID, Elmore",2009,16039,Human infections and non-human activity,6,1,0
"ID, Gem",2009,16045,Human infections and non-human activity,2,0,0
"ID, Gooding",2009,16047,Human infections,1,0,0
"ID, Jerome",2009,16053,Non-human activity,0,0,0
"ID, Lemhi",2009,16059,Human infections,1,1,0
"ID, Lincoln",2009,16063,Human infections,1,0,0
"ID, Oneida",2009,16071,Human infections,1,0,0
"ID, Owyhee",2009,16073,Human infections and non-human activity,1,1,0
"ID, Payette",2009,16075,Human infections and non-human activity,2,0,0
"ID, Twin Falls",2009,16083,Human infections and non-human activity,3,1,0
"ID, Washington",2009,16087,Human infections and non-human activity,4,1,0
"IL, Adams",2009,17001,Non-human activity,0,0,0
"IL, Bond",2009,17005,Non-human activity,0,0,0
"IL, Bureau",2009,17011,Non-human activity,0,0,0
"IL, Champaign",2009,17019,Non-human activity,0,0,0
"IL, Clinton",2009,17027,Non-human activity,0,0,0
"IL, Cook",2009,17031,Human infections and non-human activity,1,1,0
"IL, Du Page",2009,17043,Non-human activity,0,0,0
"IL, Edgar",2009,17045,Non-human activity,0,0,0
"IL, Franklin",2009,17055,Non-human activity,0,0,0
"IL, Gallatin",2009,17059,Non-human activity,0,0,0
"IL, Grundy",2009,17063,Non-human activity,0,0,0
"IL, Jackson",2009,17077,Non-human activity,0,0,0
"IL, Jersey",2009,17083,Non-human activity,0,0,0
"IL, Kane",2009,17089,Non-human activity,0,0,0
"IL, Kendall",2009,17093,Non-human activity,0,0,0
"IL, Knox",2009,17095,Non-human activity,0,0,0
"IL, Lake",2009,17097,Non-human activity,0,0,0
"IL, La Salle",2009,17099,Non-human activity,0,0,0
"IL, Macon",2009,17115,Non-human activity,0,0,0
"IL, Macoupin",2009,17117,Non-human activity,0,0,0
"IL, Madison",2009,17119,Non-human activity,0,0,0
"IL, Marion",2009,17121,Non-human activity,0,0,0
"IL, Massac",2009,17127,Non-human activity,0,0,0
"IL, Mercer",2009,17131,Non-human activity,0,0,0
"IL, Ogle",2009,17141,Non-human activity,0,0,0
"IL, Perry",2009,17145,Non-human activity,0,0,0
"IL, St Clair",2009,17163,Human infections and non-human activity,2,2,0
"IL, Sangamon",2009,17167,Non-human activity,0,0,0
"IL, Stephenson",2009,17177,Non-human activity,0,0,0
"IL, Tazewell",2009,17179,Human infections and non-human activity,1,1,0
"IL, Warren",2009,17187,Non-human activity,0,0,0
"IL, Washington",2009,17189,Non-human activity,0,0,0
"IL, Wayne",2009,17191,Non-human activity,0,0,0
"IL, Will",2009,17197,Non-human activity,0,0,0
"IL, Williamson",2009,17199,Human infections and non-human activity,1,1,0
"IL, Winnebago",2009,17201,Non-human activity,0,0,0
"IN, Adams",2009,18001,Non-human activity,0,0,0
"IN, Allen",2009,18003,Non-human activity,0,0,0
"IN, Clay",2009,18021,Non-human activity,0,0,0
"IN, Dubois",2009,18037,Non-human activity,0,0,0
"IN, Elkhart",2009,18039,Human infections,1,0,1
"IN, Fayette",2009,18041,Non-human activity,0,0,0
"IN, Floyd",2009,18043,Non-human activity,0,0,0
"IN, Gibson",2009,18051,Non-human activity,0,0,0
"IN, Grant",2009,18053,Non-human activity,0,0,0
