FullGeoName,Year,County,Activity,Reported human cases,Neuroinvasive disease cases,Identified by Blood Donor Screening
"AL, Baldwin",2013,01003,Human infections,1,1,1
"AL, Coffee",2013,01031,Human infections,1,0,0
"AL, Jefferson",2013,01073,Human infections,1,0,0
"AL, Mobile",2013,01097,Human infections,1,0,0
"AL, Montgomery",2013,01101,Human infections,0,0,1
"AL, Talladega",2013,01121,Human infections,1,1,0
"AL, Tuscaloosa",2013,01125,Human infections,4,1,0
"AZ, Apache",2013,04001,Human infections and non-human activity,1,0,0
"AZ, Cochise",2013,04003,Non-human activity,0,0,0
"AZ, Gila",2013,04007,Human infections,1,1,0
"AZ, Greenlee",2013,04011,Human infections,1,1,0
"AZ, La Paz",2013,04012,Human infections and non-human activity,1,1,0
"AZ, Maricopa",2013,04013,Human infections and non-human activity,52,42,4
"AZ, Navajo",2013,04017,Human infections,1,1,0
"AZ, Pima",2013,04019,Human infections and non-human activity,2,1,2
"AZ, Pinal",2013,04021,Human infections and non-human activity,2,2,0
"AZ, Yavapai",2013,04025,Human infections and non-human activity,1,1,0
"AZ, Yuma",2013,04027,Non-human activity,0,0,0
"AR, Benton",2013,05007,Human infections,1,1,1
"AR, Boone",2013,05009,Human infections,1,1,0
"AR, Bradley",2013,05011,Human infections,1,1,0
"AR, Crawford",2013,05033,Human infections,1,0,2
"AR, Crittenden",2013,05035,Human infections,1,1,0
"AR, Garland",2013,05051,Human infections,2,2,0
"AR, Greene",2013,05055,Non-human activity,0,0,0
"AR, Jefferson",2013,05069,Human infections,2,2,0
"AR, Little River",2013,05081,Non-human activity,0,0,0
"AR, Logan",2013,05083,Human infections,1,0,0
"AR, Lonoke",2013,05085,Non-human activity,0,0,0
"AR, Madison",2013,05087,Non-human activity,0,0,0
"AR, Pulaski",2013,05119,Human infections and non-human activity,2,2,1
"AR, Saline",2013,05125,Human infections,1,1,0
"AR, Scott",2013,05127,Human infections and non-human activity,1,1,0
"AR, Sebastian",2013,05131,Human infections,2,2,1
"AR, Union",2013,05139,Human infections,1,1,0
"AR, Washington",2013,05143,Human infections and non-human activity,1,1,0
"AR, White",2013,05145,Non-human activity,0,0,0
"AR, Yell",2013,05149,Human infections,0,0,1
"CA, Alameda",2013,06001,Human infections and non-human activity,0,0,1
"CA, Butte",2013,06007,Human infections and non-human activity,24,11,2
