FullGeoName,Year,County,Activity,Reported human cases,Neuroinvasive disease cases,Identified by Blood Donor Screening
"AL, Autauga",2016,01001,Human infections,1,1,0
"AL, Baldwin",2016,01003,Human infections,3,2,1
"AL, Coffee",2016,01031,Human infections,1,0,0
"AL, Dale",2016,01045,Human infections,1,0,0
"AL, Jefferson",2016,01073,Human infections,2,2,0
"AL, Lee",2016,01081,Human infections,1,1,0
"AL, Limestone",2016,01083,Human infections,1,1,0
"AL, Madison",2016,01089,Human infections,1,1,0
"AL, Marengo",2016,01091,Human infections,0,0,1
"AL, Mobile",2016,01097,Human infections and non-human activity,3,3,1
"AL, Montgomery",2016,01101,Non-human activity,0,0,0
"AL, Sumter",2016,01119,Human infections,1,1,0
"AL, Tuscaloosa",2016,01125,Human infections,3,1,0
"AL, Washington",2016,01129,Human infections,1,0,1
"AZ, Cochise",2016,04003,Human infections and non-human activity,0,0,1
"AZ, Coconino",2016,04005,Non-human activity,0,0,0
"AZ, Graham",2016,04009,Human infections,0,0,1
"AZ, La Paz",2016,04012,Non-human activity,0,0,0
"AZ, Maricopa",2016,04013,Human infections and non-human activity,63,47,6
"AZ, Pima",2016,04019,Human infections,4,4,3
"AZ, Pinal",2016,04021,Human infections and non-human activity,7,4,0
"AZ, Santa Cruz",2016,04023,Human infections,1,0,0
"AZ, Yuma",2016,04027,Human infections,3,2,0
"AR, Columbia",2016,05027,Human infections and non-human activity,2,2,0
"AR, Conway",2016,05029,Non-human activity,0,0,0
"AR, Drew",2016,05043,Non-human activity,0,0,0
"AR, Faulkner",2016,05045,Non-human activity,0,0,0
"AR, Garland",2016,05051,Human infections,1,0,0
"AR, Hot Spring",2016,05059,Non-human activity,0,0,0
"AR, Little River",2016,05081,Human infections,1,1,0
"AR, Lonoke",2016,05085,Human infections,1,1,0
"AR, Miller",2016,05091,Human infections,2,2,0
"AR, Ouachita",2016,05103,Human infections and non-human activity,1,1,0
"AR, Perry",2016,05105,Non-human activity,0,0,0
"AR, Polk",2016,05113,Non-human activity,0,0,0
"AR, Saline",2016,05125,Non-human activity,0,0,0
"AR, Union",2016,05139,Non-human activity,0,0,0
"AR, White",2016,05145,Human infections,1,1,1
"CA, Alameda",2016,06001,Non-human activity,0,0,0
"CA, Amador",2016,06005,Human infections,1,1,0
