FullGeoName,Year,County,Activity,Reported human cases,Neuroinvasive disease cases,Identified by Blood Donor Screening
"AL, Autauga",2021,01001,Human infections,1,1,0
"AL, Baldwin",2021,01003,Human infections and non-human activity,2,2,1
"AL, Bibb",2021,01007,Human infections,1,1,0
"AL, Conecuh",2021,01035,Non-human activity,0,0,0
"AL, Cullman",2021,01043,Human infections,1,0,1
"AL, Jefferson",2021,01073,Human infections,1,1,0
"AL, Limestone",2021,01083,Human infections,1,0,0
"AL, Madison",2021,01089,Human infections,1,0,1
"AL, Mobile",2021,01097,Human infections,3,3,0
"AL, Montgomery",2021,01101,Human infections,1,1,0
"AK, Anchorage Muny",2021,02020,Human infections,1,1,0
"AZ, Apache",2021,04001,Human infections,1,1,0
"AZ, Cochise",2021,04003,Human infections and non-human activity,1,1,0
"AZ, Gila",2021,04007,Human infections and non-human activity,5,3,0
"AZ, Graham",2021,04009,Non-human activity,0,0,0
"AZ, La Paz",2021,04012,Non-human activity,0,0,0
"AZ, Maricopa",2021,04013,Human infections and non-human activity,1476,951,104
"AZ, Mohave",2021,04015,Human infections and non-human activity,2,1,0
"AZ, Navajo",2021,04017,Human infections,1,1,0
"AZ, Pima",2021,04019,Human infections and non-human activity,103,79,11
"AZ, Pinal",2021,04021,Human infections and non-human activity,121,98,10
"AZ, Santa Cruz",2021,04023,Human infections,1,1,0
"AZ, Yavapai",2021,04025,Human infections,3,3,0
"AZ, Yuma",2021,04027,Human infections and non-human activity,1,1,0
"AR, Benton",2021,05007,Human infections,1,0,0
"AR, Bradley",2021,05011,Human infections,1,1,0
"AR, Crawford",2021,05033,Human infections,1,1,0
"AR, Pope",2021,05115,Human infections,1,1,0
"AR, Pulaski",2021,05119,Human infections,0,0,1
"AR, Sebastian",2021,05131,Human infections,2,2,0
"AR, Union",2021,05139,Human infections,2,1,0
"CA, Alameda",2021,06001,Non-human activity,0,0,0
"CA, Amador",2021,06005,Non-human activity,0,0,0
"CA, Butte",2021,06007,Human infections and non-human activity,13,9,2
"CA, Colusa",2021,06011,Non-human activity,0,0,0
"CA, Contra Costa",2021,06013,Human infections and non-human activity,2,2,0
"CA, El Dorado",2021,06017,Human infections,1,1,0
"CA, Fresno",2021,06019,Human infections and non-human activity,14,11,3
"CA, Glenn",2021,06021,Human infections and non-human activity,2,1,0
"CA, Kern",2021,06029,Human infections and non-human activity,8,6,2
"CA, Kings",2021,06031,Human infections and non-human activity,8,5,2
"CA, Lake",2021,06033,Non-human activity,0,0,0
"CA, Los Angeles",2021,06037,Human infections and non-human activity,16,12,3
"CA, Madera",2021,06039,Human infections and non-human activity,3,3,1
"CA, Merced",2021,06047,Human infections and non-human activity,6,4,1
"CA, Napa",2021,06055,Non-human activity,0,0,0
"CA, Nevada",2021,06057,Non-human activity,0,0,0
"CA, Orange",2021,06059,Human infections and non-human activity,3,1,0
"CA, Placer",2021,06061,Human infections and non-human activity,2,2,0
"CA, Riverside",2021,06065,Human infections and non-human activity,3,3,0
"CA, Sacramento",2021,06067,Human infections and non-human activity,6,6,0
"CA, San Bernardino",2021,06071,Human infections and non-human activity,1,1,0
"CA, San Diego",2021,06073,Human infections and non-human activity,3,2,0
"CA, San Francisco",2021,06075,Human infections,1,1,0
"CA, San Joaquin",2021,06077,Human infections and non-human activity,8,4,1
"CA, San Luis Obispo",2021,06079,Human infections,2,1,0
"CA, San Mateo",2021,06081,Human infections,1,1,0
"CA, Santa Barbara",2021,06083,Human infections,2,2,0
"CA, Santa Clara",2021,06085,Human infections and non-human activity,3,2,0
"CA, Santa Cruz",2021,06087,Human infections,1,1,0
"CA, Shasta",2021,06089,Human infections and non-human activity,3,2,0
"CA, Solano",2021,06095,Human infections and non-human activity,2,1,0
"CA, Sonoma",2021,06097,Non-human activity,0,0,0
"CA, Stanislaus",2021,06099,Human infections and non-human activity,5,3,2
"CA, Sutter",2021,06101,Non-human activity,0,0,0
"CA, Tehama",2021,06103,Non-human activity,0,0,0
"CA, Tulare",2021,06107,Human infections and non-human activity,8,8,1
"CA, Ventura",2021,06111,Non-human activity,0,0,0
"CA, Yolo",2021,06113,Human infections and non-human activity,3,1,1
"CA, Yuba",2021,06115,Non-human activity,0,0,0
"CO, Adams",2021,08001,Human infections and non-human activity,18,11,4
"CO, Arapahoe",2021,08005,Human infections and non-human activity,5,5,3
"CO, Boulder",2021,08013,Human infections and non-human activity,19,8,4
"CO, Broomfield",2021,08014,Human infections,1,1,0
"CO, Clear Creek",2021,08019,Human infections,1,1,0
"CO, Delta",2021,08029,Human infections and non-human activity,18,8,1
"CO, Denver",2021,08031,Human infections and non-human activity,19,16,1
"CO, Douglas",2021,08035,Human infections and non-human activity,4,3,1
"CO, Elbert",2021,08039,Non-human activity,0,0,0
"CO, El Paso",2021,08041,Human infections and non-human activity,2,2,0
"CO, Fremont",2021,08043,Human infections and non-human activity,1,1,0
"CO, Grand",2021,08049,Human infections,1,0,0
"CO, Jefferson",2021,08059,Human infections,12,8,5
"CO, Kiowa",2021,08061,Human infections,1,0,0
"CO, Kit Carson",2021,08063,Human infections,1,1,0
"CO, Larimer",2021,08069,Human infections and non-human activity,27,8,2
"CO, Logan",2021,08075,Non-human activity,0,0,0
"CO, Mesa",2021,08077,Non-human activity,0,0,0
"CO, Montezuma",2021,08083,Human infections,1,1,0
"CO, Montrose",2021,08085,Human infections,12,7,1
"CO, Morgan",2021,08087,Non-human activity,0,0,0
"CO, Otero",2021,08089,Non-human activity,0,0,0
"CO, Phillips",2021,08095,Human infections,1,0,0
"CO, Pueblo",2021,08101,Human infections and non-human activity,2,1,1
"CO, Weld",2021,08123,Human infections and non-human activity,26,17,1
"CO, Yuma",2021,08125,Human infections,3,2,0
"CT, Fairfield",2021,09001,Human infections and non-human activity,3,2,2
"CT, Hartford",2021,09003,Human infections and non-human activity,2,1,1
"CT, Litchfield",2021,09005,Non-human activity,0,0,0
"CT, Middlesex",2021,09007,Non-human activity,0,0,0
"CT, New Haven",2021,09009,Human infections and non-human activity,2,2,0
"CT, New London",2021,09011,Non-human activity,0,0,0
"CT, Tolland",2021,09013,Non-human activity,0,0,0
"CT, Windham",2021,09015,Non-human activity,0,0,0
"DE, Kent",2021,10001,Human infections and non-human activity,2,2,0
"DE, New Castle",2021,10003,Non-human activity,0,0,0
"DE, Sussex",2021,10005,Human infections and non-human activity,1,1,0
