FullGeoName,Year,County,Activity,Reported human cases,Neuroinvasive disease cases,Identified by Blood Donor Screening
"AL, Autauga",2023,01001,Human infections,1,1,0
"AL, Baldwin",2023,01003,Human infections and non-human activity,0,0,1
"AL, Calhoun",2023,01015,Human infections,2,2,0
"AL, Dale",2023,01045,Human infections,0,0,1
"AL, Etowah",2023,01055,Human infections,1,1,0
"AL, Houston",2023,01069,Human infections,1,1,0
"AL, Jefferson",2023,01073,Human infections,6,5,0
"AL, Madison",2023,01089,Human infections,1,0,0
"AL, Marshall",2023,01095,Non-human activity,0,0,0
"AL, Mobile",2023,01097,Human infections and non-human activity,4,3,1
"AL, Monroe",2023,01099,Non-human activity,0,0,0
"AL, Montgomery",2023,01101,Human infections,3,3,0
"AL, Morgan",2023,01103,Human infections,1,1,0
"AL, Shelby",2023,01117,Human infections,2,2,0
"AL, Talladega",2023,01121,Human infections,2,2,0
"AL, Tallapoosa",2023,01123,Human infections,1,1,0
"AL, Tuscaloosa",2023,01125,Human infections,1,1,0
"AZ, Apache",2023,04001,Human infections,1,1,0
"AZ, Gila",2023,04007,Non-human activity,0,0,0
"AZ, Graham",2023,04009,Human infections,1,0,0
"AZ, La Paz",2023,04012,Non-human activity,0,0,0
"AZ, Maricopa",2023,04013,Human infections and non-human activity,72,58,8
"AZ, Mohave",2023,04015,Human infections and non-human activity,1,1,0
"AZ, Navajo",2023,04017,Human infections,1,1,0
"AZ, Pima",2023,04019,Human infections,1,1,0
"AZ, Pinal",2023,04021,Non-human activity,0,0,0
"AZ, Yavapai",2023,04025,Human infections,2,1,0
"AZ, Yuma",2023,04027,Human infections and non-human activity,3,1,0
"AR, Dallas",2023,05039,Human infections,1,1,0
"AR, Drew",2023,05043,Human infections,1,1,0
"AR, Garland",2023,05051,Human infections,2,1,0
"AR, Greene",2023,05055,Human infections,1,1,0
"AR, Jefferson",2023,05069,Human infections,2,2,0
"AR, Monroe",2023,05095,Non-human activity,0,0,0
"AR, Pulaski",2023,05119,Human infections,3,1,0
"AR, Union",2023,05139,Human infections,1,0,0
"CA, Alameda",2023,06001,Human infections and non-human activity,1,1,1
"CA, Amador",2023,06005,Human infections,0,0,1
"CA, Butte",2023,06007,Human infections and non-human activity,15,8,1
"CA, Calaveras",2023,06009,Human infections and non-human activity,1,1,0
"CA, Colusa",2023,06011,Human infections and non-human activity,1,1,0
"CA, Contra Costa",2023,06013,Human infections and non-human activity,10,6,2
"CA, El Dorado",2023,06017,Human infections and non-human activity,3,3,0
"CA, Fresno",2023,06019,Human infections and non-human activity,23,16,2
"CA, Glenn",2023,06021,Human infections and non-human activity,4,3,0
"CA, Imperial",2023,06025,Human infections and non-human activity,1,0,0
"CA, Inyo",2023,06027,Non-human activity,0,0,0
"CA, Kern",2023,06029,Human infections and non-human activity,16,11,3
"CA, Kings",2023,06031,Human infections and non-human activity,8,4,3
"CA, Lake",2023,06033,Human infections and non-human activity,6,5,0
"CA, Los Angeles",2023,06037,Human infections and non-human activity,53,48,6
"CA, Madera",2023,06039,Human infections and non-human activity,8,7,0
"CA, Marin",2023,06041,Non-human activity,0,0,0
"CA, Merced",2023,06047,Human infections and non-human activity,8,5,1
"CA, Monterey",2023,06053,Human infections,2,2,0
"CA, Napa",2023,06055,Non-human activity,0,0,0
"CA, Nevada",2023,06057,Human infections and non-human activity,1,1,0
"CA, Orange",2023,06059,Human infections and non-human activity,5,5,1
"CA, Placer",2023,06061,Human infections and non-human activity,6,6,0
"CA, Riverside",2023,06065,Human infections and non-human activity,18,9,2
"CA, Sacramento",2023,06067,Human infections and non-human activity,50,43,7
"CA, San Benito",2023,06069,Non-human activity,0,0,0
"CA, San Bernardino",2023,06071,Human infections and non-human activity,28,25,2
"CA, San Diego",2023,06073,Non-human activity,0,0,0
"CA, San Joaquin",2023,06077,Human infections and non-human activity,15,13,2
"CA, San Luis Obispo",2023,06079,Human infections and non-human activity,2,2,0
"CA, San Mateo",2023,06081,Human infections and non-human activity,3,3,1
"CA, Santa Clara",2023,06085,Human infections and non-human activity,3,2,0
"CA, Shasta",2023,06089,Human infections and non-human activity,6,6,0
"CA, Siskiyou",2023,06093,Non-human activity,0,0,0
"CA, Solano",2023,06095,Human infections and non-human activity,5,3,1
"CA, Sonoma",2023,06097,Human infections and non-human activity,1,1,0
"CA, Stanislaus",2023,06099,Human infections and non-human activity,31,23,1
"CA, Sutter",2023,06101,Human infections and non-human activity,7,6,0
"CA, Tehama",2023,06103,Non-human activity,0,0,0
"CA, Tulare",2023,06107,Human infections and non-human activity,25,19,0
"CA, Ventura",2023,06111,Human infections and non-human activity,1,1,0
"CA, Yolo",2023,06113,Human infections and non-human activity,37,22,7
"CA, Yuba",2023,06115,Human infections and non-human activity,5,4,0
"CO, Adams",2023,08001,Human infections and non-human activity,45,23,3
"CO, Alamosa",2023,08003,Human infections and non-human activity,2,0,0
"CO, Arapahoe",2023,08005,Human infections and non-human activity,56,27,13
"CO, Archuleta",2023,08007,Human infections and non-human activity,2,1,0
"CO, Baca",2023,08009,Human infections,2,1,0
"CO, Bent",2023,08011,Human infections and non-human activity,0,0,1
"CO, Boulder",2023,08013,Human infections and non-human activity,29,14,3
"CO, Broomfield",2023,08014,Human infections,5,2,2
"CO, Chaffee",2023,08015,Human infections,10,2,0
"CO, Conejos",2023,08021,Non-human activity,0,0,0
"CO, Crowley",2023,08025,Human infections,1,1,0
"CO, Custer",2023,08027,Human infections and non-human activity,1,0,0
"CO, Delta",2023,08029,Human infections and non-human activity,7,0,0
"CO, Denver",2023,08031,Human infections and non-human activity,97,59,15
"CO, Douglas",2023,08035,Human infections and non-human activity,32,14,16
"CO, Elbert",2023,08039,Human infections and non-human activity,3,1,3
"CO, El Paso",2023,08041,Human infections and non-human activity,51,32,18
"CO, Fremont",2023,08043,Human infections and non-human activity,15,8,1
"CO, Garfield",2023,08045,Non-human activity,0,0,0
"CO, Grand",2023,08049,Human infections,1,1,0
"CO, Gunnison",2023,08051,Human infections,1,1,0
"CO, Huerfano",2023,08055,Human infections and non-human activity,1,0,1
"CO, Jefferson",2023,08059,Human infections and non-human activity,65,39,19
"CO, Kiowa",2023,08061,Human infections,1,1,0
"CO, Kit Carson",2023,08063,Human infections,3,1,0
"CO, La Plata",2023,08067,Human infections and non-human activity,11,7,3
"CO, Larimer",2023,08069,Human infections and non-human activity,52,18,8
"CO, Las Animas",2023,08071,Human infections and non-human activity,2,1,0
"CO, Lincoln",2023,08073,Human infections and non-human activity,2,1,0
"CO, Logan",2023,08075,Human infections,6,2,0
"CO, Mesa",2023,08077,Human infections,15,11,3
"CO, Moffat",2023,08081,Human infections,0,0,1
"CO, Montezuma",2023,08083,Human infections,5,2,0
"CO, Montrose",2023,08085,Human infections,2,0,1
"CO, Morgan",2023,08087,Human infections,11,7,1
"CO, Otero",2023,08089,Human infections,2,1,2
"CO, Phillips",2023,08095,Human infections,1,0,0
"CO, Prowers",2023,08099,Human infections,8,1,0
"CO, Pueblo",2023,08101,Human infections and non-human activity,25,12,3
"CO, Rio Grande",2023,08105,Non-human activity,0,0,0
"CO, Saguache",2023,08109,Human infections and non-human activity,1,0,0
"CO, Summit",2023,08117,Human infections,1,1,0
"CO, Teller",2023,08119,Human infections,4,3,0
"CO, Washington",2023,08121,Human infections,3,2,0
"CO, Weld",2023,08123,Human infections and non-human activity,53,19,5
"CO, Yuma",2023,08125,Non-human activity,0,0,0
"CT, Fairfield",2023,09001,Human infections and non-human activity,1,0,0
"CT, Hartford",2023,09003,Human infections and non-human activity,2,1,0
"CT, Middlesex",2023,09007,Non-human activity,0,0,0
"CT, New Haven",2023,09009,Human infections and non-human activity,1,0,0
"CT, New London",2023,09011,Non-human activity,0,0,0
"CT, Tolland",2023,09013,Non-human activity,0,0,0
"CT, Windham",2023,09015,Non-human activity,0,0,0
"DE, Kent",2023,10001,Non-human activity,0,0,0
"DE, New Castle",2023,10003,Human infections and non-human activity,4,4,2
"DE, Sussex",2023,10005,Non-human activity,0,0,0
"DC, Washington",2023,11001,Human infections and non-human activity,1,1,0
"FL, Alachua",2023,12001,Non-human activity,0,0,0
"FL, Bay",2023,12005,Human infections and non-human activity,0,0,1
"FL, Brevard",2023,12009,Human infections and non-human activity,1,1,0
"FL, Citrus",2023,12017,Non-human activity,0,0,0
"FL, Collier",2023,12021,Human infections,1,1,0
"FL, Duval",2023,12031,Human infections and non-human activity,1,1,0
"FL, Escambia",2023,12033,Human infections,6,4,2
"FL, Hernando",2023,12053,Non-human activity,0,0,0
"FL, Hillsborough",2023,12057,Human infections and non-human activity,0,0,1
"FL, Lee",2023,12071,Human infections and non-human activity,1,1,0
"FL, Leon",2023,12073,Non-human activity,0,0,0
"FL, Martin",2023,12085,Non-human activity,0,0,0
"FL, Nassau",2023,12089,Non-human activity,0,0,0
"FL, Okaloosa",2023,12091,Human infections,1,1,0
"FL, Orange",2023,12095,Non-human activity,0,0,0
"FL, Palm Beach",2023,12099,Non-human activity,0,0,0
"FL, Pinellas",2023,12103,Non-human activity,0,0,0
"FL, St Johns",2023,12109,Human infections and non-human activity,1,1,0
"FL, Santa Rosa",2023,12113,Non-human activity,0,0,0
"FL, Sarasota",2023,12115,Human infections and non-human activity,1,0,0
"FL, Seminole",2023,12117,Non-human activity,0,0,0
"FL, Volusia",2023,12127,Non-human activity,0,0,0
"FL, Wakulla",2023,12129,Human infections and non-human activity,1,1,0
"FL, Walton",2023,12131,Human infections and non-human activity,0,0,1
"GA, Brantley",2023,13025,Human infections,1,1,0
"GA, Chatham",2023,13051,Non-human activity,0,0,0
"GA, Cherokee",2023,13057,Human infections,1,0,2
