FullGeoName,Year,County,Activity,Reported human cases,Neuroinvasive disease cases,Identified by Blood Donor Screening
"AL, Autauga",2008,01001,Non-human activity,0,0,0
"AL, Baldwin",2008,01003,Non-human activity,0,0,0
"AL, Cullman",2008,01043,Non-human activity,0,0,0
"AL, Dallas",2008,01047,Non-human activity,0,0,0
"AL, Escambia",2008,01053,Human infections,1,0,1
"AL, Jefferson",2008,01073,Human infections and non-human activity,6,6,0
"AL, Lee",2008,01081,Human infections and non-human activity,1,0,0
"AL, Limestone",2008,01083,Human infections,1,0,0
"AL, Marengo",2008,01091,Non-human activity,0,0,0
"AL, Mobile",2008,01097,Human infections,3,1,0
"AL, Montgomery",2008,01101,Human infections,1,0,0
"AL, Russell",2008,01113,Non-human activity,0,0,0
"AL, Talladega",2008,01121,Human infections,1,1,0
"AL, Tuscaloosa",2008,01125,Human infections,4,3,0
"AZ, Cochise",2008,04003,Non-human activity,0,0,0
"AZ, Coconino",2008,04005,Non-human activity,0,0,0
"AZ, Gila",2008,04007,Human infections and non-human activity,2,2,0
"AZ, Graham",2008,04009,Human infections and non-human activity,5,5,0
"AZ, Greenlee",2008,04011,Non-human activity,0,0,0
"AZ, Maricopa",2008,04013,Human infections and non-human activity,91,49,21
"AZ, Pima",2008,04019,Human infections and non-human activity,13,4,5
"AZ, Pinal",2008,04021,Human infections and non-human activity,3,2,0
"AZ, Santa Cruz",2008,04023,Non-human activity,0,0,0
"AZ, Yuma",2008,04027,Human infections and non-human activity,0,0,1
"AR, Benton",2008,05007,Non-human activity,0,0,0
"AR, Crittenden",2008,05035,Human infections and non-human activity,1,1,0
"AR, Greene",2008,05055,Non-human activity,0,0,0
"AR, Independence",2008,05063,Human infections,1,1,0
"AR, Jefferson",2008,05069,Human infections,4,3,0
"AR, Lee",2008,05077,Non-human activity,0,0,0
"AR, Marion",2008,05089,Human infections,1,0,0
"AR, Pulaski",2008,05119,Human infections and non-human activity,1,1,0
"AR, Sebastian",2008,05131,Non-human activity,0,0,0
"AR, Union",2008,05139,Human infections,1,1,0
"CA, Alameda",2008,06001,Human infections and non-human activity,1,1,0
"CA, Amador",2008,06005,Non-human activity,0,0,0
"CA, Butte",2008,06007,Human infections and non-human activity,6,1,1
"CA, Calaveras",2008,06009,Human infections and non-human activity,1,0,0
"CA, Colusa",2008,06011,Human infections and non-human activity,1,0,0
"CA, Contra Costa",2008,06013,Human infections and non-human activity,4,3,1
"CA, Del Norte",2008,06015,Non-human activity,0,0,0
"CA, El Dorado",2008,06017,Human infections and non-human activity,1,0,0
"CA, Fresno",2008,06019,Human infections and non-human activity,3,2,0
"CA, Glenn",2008,06021,Human infections and non-human activity,1,0,0
"CA, Humboldt",2008,06023,Non-human activity,0,0,0
"CA, Imperial",2008,06025,Non-human activity,0,0,0
"CA, Kern",2008,06029,Human infections and non-human activity,2,0,0
"CA, Kings",2008,06031,Human infections and non-human activity,2,0,0
"CA, Lake",2008,06033,Non-human activity,0,0,0
"CA, Lassen",2008,06035,Non-human activity,0,0,0
"CA, Los Angeles",2008,06037,Human infections and non-human activity,156,107,30
"CA, Madera",2008,06039,Non-human activity,0,0,0
"CA, Marin",2008,06041,Non-human activity,0,0,0
"CA, Mendocino",2008,06045,Non-human activity,0,0,0
"CA, Merced",2008,06047,Human infections and non-human activity,1,1,0
"CA, Modoc",2008,06049,Non-human activity,0,0,0
"CA, Mono",2008,06051,Non-human activity,0,0,0
"CA, Monterey",2008,06053,Non-human activity,0,0,0
"CA, Napa",2008,06055,Non-human activity,0,0,0
"CA, Nevada",2008,06057,Non-human activity,0,0,0
"CA, Orange",2008,06059,Human infections and non-human activity,71,54,9
"CA, Placer",2008,06061,Human infections and non-human activity,6,2,0
"CA, Riverside",2008,06065,Human infections and non-human activity,62,46,6
"CA, Sacramento",2008,06067,Human infections and non-human activity,13,8,4
"CA, San Bernardino",2008,06071,Human infections and non-human activity,36,22,9
"CA, San Diego",2008,06073,Human infections and non-human activity,35,26,3
"CA, San Joaquin",2008,06077,Human infections and non-human activity,12,4,3
"CA, San Luis Obispo",2008,06079,Non-human activity,0,0,0
"CA, San Mateo",2008,06081,Non-human activity,0,0,0
"CA, Santa Barbara",2008,06083,Human infections and non-human activity,1,1,0
"CA, Santa Clara",2008,06085,Human infections and non-human activity,1,0,0
"CA, Santa Cruz",2008,06087,Non-human activity,0,0,0
"CA, Shasta",2008,06089,Human infections and non-human activity,1,0,1
"CA, Solano",2008,06095,Human infections and non-human activity,1,1,1
"CA, Sonoma",2008,06097,Non-human activity,0,0,0
"CA, Stanislaus",2008,06099,Human infections and non-human activity,17,9,2
"CA, Sutter",2008,06101,Non-human activity,0,0,0
"CA, Tehama",2008,06103,Human infections and non-human activity,4,1,1
"CA, Trinity",2008,06105,Non-human activity,0,0,0
"CA, Tulare",2008,06107,Human infections and non-human activity,5,3,0
"CA, Ventura",2008,06111,Non-human activity,0,0,0
"CA, Yolo",2008,06113,Human infections and non-human activity,1,0,0
"CA, Yuba",2008,06115,Human infections and non-human activity,0,0,1
"CO, Adams",2008,08001,Human infections,6,0,1
"CO, Arapahoe",2008,08005,Human infections,1,1,0
"CO, Bent",2008,08011,Non-human activity,0,0,0
"CO, Boulder",2008,08013,Human infections and non-human activity,13,2,0
"CO, Delta",2008,08029,Human infections and non-human activity,1,0,0
"CO, Denver",2008,08031,Human infections,3,2,0
"CO, El Paso",2008,08041,Non-human activity,0,0,0
"CO, Gunnison",2008,08051,Human infections,1,0,0
"CO, Jefferson",2008,08059,Human infections and non-human activity,3,1,0
"CO, Kiowa",2008,08061,Human infections,1,0,0
"CO, Larimer",2008,08069,Human infections and non-human activity,13,3,0
"CO, Logan",2008,08075,Human infections and non-human activity,2,0,0
"CO, Morgan",2008,08087,Human infections and non-human activity,2,0,0
"CO, Otero",2008,08089,Human infections and non-human activity,1,0,0
"CO, Phillips",2008,08095,Human infections,1,0,0
"CO, Prowers",2008,08099,Human infections and non-human activity,1,1,0
"CO, Pueblo",2008,08101,Human infections and non-human activity,2,0,0
"CO, Weld",2008,08123,Human infections and non-human activity,19,7,0
"CO, Yuma",2008,08125,Human infections,1,0,0
"CT, Fairfield",2008,09001,Human infections and non-human activity,8,5,0
"CT, Hartford",2008,09003,Non-human activity,0,0,0
"CT, Middlesex",2008,09007,Non-human activity,0,0,0
"CT, New Haven",2008,09009,Non-human activity,0,0,0
"CT, New London",2008,09011,Non-human activity,0,0,0
"DE, Kent",2008,10001,Human infections and non-human activity,1,0,0
"DE, New Castle",2008,10003,Non-human activity,0,0,0
"DE, Sussex",2008,10005,Non-human activity,0,0,0
"DC, Washington",2008,11001,Human infections and non-human activity,8,4,0
"FL, Bay",2008,12005,Non-human activity,0,0,0
"FL, Brevard",2008,12009,Non-human activity,0,0,0
"FL, Escambia",2008,12033,Human infections and non-human activity,2,2,0
"FL, Hillsborough",2008,12057,Non-human activity,0,0,0
"FL, Leon",2008,12073,Non-human activity,0,0,0
"FL, Madison",2008,12079,Non-human activity,0,0,0
"FL, Orange",2008,12095,Non-human activity,0,0,0
"FL, Pinellas",2008,12103,Non-human activity,0,0,0
"FL, Putnam",2008,12107,Non-human activity,0,0,0
"FL, Wakulla",2008,12129,Human infections,1,1,0
"FL, Walton",2008,12131,Non-human activity,0,0,0
"GA, Baker",2008,13007,Non-human activity,0,0,0
"GA, Bibb",2008,13021,Human infections,1,1,0
"GA, Clayton",2008,13063,Non-human activity,0,0,0
"GA, Cobb",2008,13067,Human infections and non-human activity,1,1,0
"GA, De Kalb",2008,13089,Human infections and non-human activity,0,0,1
"GA, Dougherty",2008,13095,Human infections,2,0,0
"GA, Floyd",2008,13115,Human infections,2,2,0
"GA, Forsyth",2008,13117,Human infections,0,0,1
"GA, Fulton",2008,13121,Human infections and non-human activity,1,0,0
"GA, Gwinnett",2008,13135,Human infections,0,0,1
"GA, Lee",2008,13177,Human infections,1,0,1
"GA, Lowndes",2008,13185,Non-human activity,0,0,0
"ID, Ada",2008,16001,Human infections and non-human activity,10,1,0
"ID, Adams",2008,16003,Human infections and non-human activity,4,0,0
"ID, Bannock",2008,16005,Human infections,1,0,0
"ID, Bingham",2008,16011,Human infections and non-human activity,2,0,0
"ID, Boise",2008,16015,Human infections,1,0,0
"ID, Bonneville",2008,16019,Human infections,2,0,0
"ID, Canyon",2008,16027,Human infections and non-human activity,2,0,0
"ID, Elmore",2008,16039,Human infections and non-human activity,4,0,0
"ID, Gem",2008,16045,Human infections and non-human activity,2,1,0
"ID, Jerome",2008,16053,Human infections,1,0,0
"ID, Owyhee",2008,16073,Human infections and non-human activity,1,0,0
"ID, Payette",2008,16075,Human infections and non-human activity,3,1,0
"ID, Twin Falls",2008,16083,Human infections,2,1,0
"ID, Valley",2008,16085,Non-human activity,0,0,0
"ID, Washington",2008,16087,Human infections and non-human activity,4,0,0
"IL, Adams",2008,17001,Non-human activity,0,0,0
"IL, Boone",2008,17007,Human infections,2,2,0
"IL, Cook",2008,17031,Human infections and non-human activity,9,7,0
"IL, Du Page",2008,17043,Human infections and non-human activity,1,0,0
"IL, Gallatin",2008,17059,Non-human activity,0,0,0
"IL, Grundy",2008,17063,Non-human activity,0,0,0
"IL, Jackson",2008,17077,Non-human activity,0,0,0
"IL, Kane",2008,17089,Human infections and non-human activity,3,1,0
"IL, Kendall",2008,17093,Non-human activity,0,0,0
"IL, Lake",2008,17097,Non-human activity,0,0,0
"IL, La Salle",2008,17099,Non-human activity,0,0,0
"IL, Lee",2008,17103,Non-human activity,0,0,0
"IL, Logan",2008,17107,Non-human activity,0,0,0
"IL, Mcdonough",2008,17109,Non-human activity,0,0,0
"IL, Mchenry",2008,17111,Non-human activity,0,0,0
"IL, Mclean",2008,17113,Non-human activity,0,0,0
"IL, Macon",2008,17115,Human infections and non-human activity,1,0,0
"IL, Madison",2008,17119,Non-human activity,0,0,0
"IL, Marshall",2008,17123,Human infections,1,0,0
"IL, Montgomery",2008,17135,Human infections,1,1,0
"IL, Peoria",2008,17143,Non-human activity,0,0,0
"IL, St Clair",2008,17163,Non-human activity,0,0,0
"IL, Sangamon",2008,17167,Non-human activity,0,0,0
"IL, Stephenson",2008,17177,Human infections,1,1,0
"IL, Tazewell",2008,17179,Non-human activity,0,0,0
"IL, Whiteside",2008,17195,Human infections and non-human activity,1,0,0
"IL, Will",2008,17197,Non-human activity,0,0,0
"IL, Winnebago",2008,17201,Non-human activity,0,0,0
"IN, Adams",2008,18001,Non-human activity,0,0,0
"IN, Allen",2008,18003,Non-human activity,0,0,0
"IN, Bartholomew",2008,18005,Non-human activity,0,0,0
"IN, Boone",2008,18011,Non-human activity,0,0,0
"IN, Brown",2008,18013,Non-human activity,0,0,0
"IN, Clay",2008,18021,Non-human activity,0,0,0
"IN, Clinton",2008,18023,Non-human activity,0,0,0
"IN, Delaware",2008,18035,Non-human activity,0,0,0
"IN, Elkhart",2008,18039,Non-human activity,0,0,0
"IN, Floyd",2008,18043,Human infections and non-human activity,1,1,0
"IN, Fountain",2008,18045,Non-human activity,0,0,0
"IN, Hamilton",2008,18057,Non-human activity,0,0,0
"IN, Hancock",2008,18059,Non-human activity,0,0,0
"IN, Henry",2008,18065,Non-human activity,0,0,0
"IN, Jackson",2008,18071,Non-human activity,0,0,0
"IN, Johnson",2008,18081,Non-human activity,0,0,0
"IN, Lake",2008,18089,Non-human activity,0,0,0
"IN, Lawrence",2008,18093,Non-human activity,0,0,0
"IN, Madison",2008,18095,Non-human activity,0,0,0
"IN, Marion",2008,18097,Human infections and non-human activity,1,0,0
"IN, Monroe",2008,18105,Non-human activity,0,0,0
"IN, Montgomery",2008,18107,Non-human activity,0,0,0
"IN, Morgan",2008,18109,Non-human activity,0,0,0
"IN, Noble",2008,18113,Non-human activity,0,0,0
"IN, Ohio",2008,18115,Non-human activity,0,0,0
"IN, Owen",2008,18119,Non-human activity,0,0,0
"IN, Perry",2008,18123,Human infections,1,1,0
"IN, Pike",2008,18125,Non-human activity,0,0,0
"IN, Porter",2008,18127,Non-human activity,0,0,0
"IN, Putnam",2008,18133,Non-human activity,0,0,0
"IN, Randolph",2008,18135,Non-human activity,0,0,0
"IN, Rush",2008,18139,Non-human activity,0,0,0
"IN, St Joseph",2008,18141,Non-human activity,0,0,0
"IN, Scott",2008,18143,Non-human activity,0,0,0
"IN, Shelby",2008,18145,Non-human activity,0,0,0
"IN, Sullivan",2008,18153,Non-human activity,0,0,0
"IN, Tippecanoe",2008,18157,Human infections and non-human activity,1,1,0
"IN, Tipton",2008,18159,Non-human activity,0,0,0
"IN, Union",2008,18161,Non-human activity,0,0,0
"IN, Vanderburgh",2008,18163,Non-human activity,0,0,0
"IN, Vermillion",2008,18165,Non-human activity,0,0,0
"IN, Vigo",2008,18167,Non-human activity,0,0,0
"IN, Wells",2008,18179,Non-human activity,0,0,0
"IA, Bremer",2008,19017,Human infections,0,0,1
"IA, Buchanan",2008,19019,Non-human activity,0,0,0
"IA, Butler",2008,19023,Non-human activity,0,0,0
"IA, Calhoun",2008,19025,Non-human activity,0,0,0
"IA, Carroll",2008,19027,Human infections,1,1,0
"IA, Crawford",2008,19047,Human infections,1,0,1
"IA, Monona",2008,19133,Human infections and non-human activity,2,0,0
"IA, Montgomery",2008,19137,Human infections and non-human activity,1,1,0
"IA, Polk",2008,19153,Non-human activity,0,0,0
"IA, Pottawattamie",2008,19155,Human infections and non-human activity,1,1,0
"IA, Scott",2008,19163,Non-human activity,0,0,0
"IA, Woodbury",2008,19193,Non-human activity,0,0,0
"KS, Barton",2008,20009,Human infections,2,0,0
"KS, Dickinson",2008,20041,Human infections,1,0,0
"KS, Gove",2008,20063,Human infections,2,0,0
"KS, Gray",2008,20069,Human infections,1,1,0
"KS, Hamilton",2008,20075,Human infections,1,1,0
"KS, Harvey",2008,20079,Human infections,2,0,0
"KS, Jewell",2008,20089,Human infections,3,2,0
"KS, Mcpherson",2008,20113,Human infections,1,1,0
"KS, Phillips",2008,20147,Human infections,1,1,0
"KS, Pratt",2008,20151,Human infections,3,2,0
"KS, Reno",2008,20155,Human infections,1,1,0
"KS, Saline",2008,20169,Human infections,2,0,0
"KS, Sedgwick",2008,20173,Human infections,6,1,0
"KS, Stafford",2008,20185,Human infections,1,0,0
"KS, Stanton",2008,20187,Human infections,2,2,0
"KS, Washington",2008,20201,Human infections,1,1,0
"KS, Wichita",2008,20203,Human infections,1,1,0
"KY, Adair",2008,21001,Non-human activity,0,0,0
"KY, Boone",2008,21015,Non-human activity,0,0,0
"KY, Christian",2008,21047,Non-human activity,0,0,0
"KY, Fayette",2008,21067,Non-human activity,0,0,0
"KY, Fleming",2008,21069,Human infections,0,0,1
"KY, Jefferson",2008,21111,Non-human activity,0,0,0
"KY, Kenton",2008,21117,Human infections,2,2,1
"KY, Mccracken",2008,21145,Human infections,1,1,0
"KY, Pendleton",2008,21191,Non-human activity,0,0,0
"KY, Todd",2008,21219,Non-human activity,0,0,0
"LA, Acadia Parish",2008,22001,Non-human activity,0,0,0
"LA, Allen Parish",2008,22003,Human infections,1,0,0
"LA, Ascension Parish",2008,22005,Human infections and non-human activity,0,0,1
"LA, Avoyelles Parish",2008,22009,Human infections,1,1,0
"LA, Bossier Parish",2008,22015,Non-human activity,0,0,0
"LA, Caddo Parish",2008,22017,Human infections and non-human activity,8,3,0
"LA, Calcasieu Parish",2008,22019,Human infections and non-human activity,3,1,0
"LA, Cameron Parish",2008,22023,Non-human activity,0,0,0
